v,n,m,sols,canonical,symm,multilex,eff,slack
2,2,1,3,2,33.330000,2,100.000000,1.000000
3,3,1,25,6,76.000000,9,84.210000,1.500000
4,2,2,543,275,49.350000,275,100.000000,1.000000
4,4,1,543,31,94.290000,71,92.180000,2.290323
5,5,1,29281,302,98.960000,1166,97.010000,3.860927
6,2,3,3781503,1890896,49.990000,1890896,100.000000,1.000000
6,3,2,3781503,630863,83.310000,1083027,85.640000,1.716739
6,6,1,3781503,5984,99.840000,39143,99.120000,6.541277
7,7,1,1138779265,243668,99.970000,2656761,99.780000,10.903200
8,2,4,783702329343,391851196415,49.990000,391851196415,100.000000,1.000000
8,4,2,783702329343,32656331783,95.830000,81515025162,93.490000,2.496148
8,8,1,783702329343,20286025,99.990000,361414631,99.950000,17.815941
