size,n,rc,rm,mlr,expmlr
4,2,0.125000,0.125000,0.625000,0.500000
9,3,0.036458,0.021484,0.271484,0.250000
8,2,0.031250,0.031250,0.531250,0.500000
12,2,0.007812,0.007812,0.507812,0.500000
16,2,0.001953,0.001953,0.501953,0.500000
16,4,0.004781,0.011149,0.094482,0.083333
18,3,0.002035,0.005539,0.255539,0.250000
24,2,0.000122,0.000122,0.500122,0.500000
25,5,0.000368,0.005908,0.026741,0.020833
36,2,0.000002,0.000002,0.500002,0.500000
36,3,0.000008,0.012556,0.262556,0.250000
36,6,0.000022,0.002125,0.006292,0.004167
