d,nr,mr,nc,mc,sols,canonical,symm,multilex,eff,slack
{$2 \times 2$},2,1,2,1,{$2^{4}$},7,56.250000,7,100.000000,1.000000
{$3 \times 2$},3,1,2,1,{$2^{6}$},13,79.680000,14,98.030000,1.076923
{$3 \times 3$},3,1,3,1,{$2^{9}$},36,92.960000,45,98.100000,1.250000
{$4 \times 2$},2,2,2,1,{$2^{8}$},76,70.310000,82,96.660000,1.078947
{$4 \times 2$},4,1,2,1,{$2^{8}$},22,91.400000,25,98.710000,1.136364
{$4 \times 3$},2,2,3,1,{$2^{12}$},430,89.500000,529,97.290000,1.230233
{$4 \times 3$},4,1,3,1,{$2^{12}$},87,97.870000,130,98.920000,1.494253
{$4 \times 4$},2,2,2,2,{$2^{16}$},16576,74.700000,20280,92.430000,1.223456
{$4 \times 4$},4,1,2,2,{$2^{16}$},1996,96.950000,2861,98.630000,1.433367
{$4 \times 4$},4,1,4,1,{$2^{16}$},317,99.510000,650,99.480000,2.050473
{$5 \times 2$},5,1,2,1,{$2^{10}$},34,96.670000,41,99.290000,1.205882
{$5 \times 3$},5,1,3,1,{$2^{15}$},190,99.420000,336,99.550000,1.768421
{$5 \times 4$},5,1,2,2,{$2^{20}$},7882,99.240000,12068,99.590000,1.531083
{$5 \times 4$},5,1,4,1,{$2^{20}$},1053,99.890000,2942,99.810000,2.793922
{$5 \times 5$},5,1,5,1,{$2^{25}$},5624,99.980000,24520,99.940000,4.359886
{$6 \times 2$},2,3,2,1,{$2^{12}$},1072,73.820000,1204,95.630000,1.123134
{$6 \times 2$},3,2,2,1,{$2^{12}$},430,89.500000,517,97.620000,1.202326
{$6 \times 2$},6,1,2,1,{$2^{12}$},50,98.770000,63,99.670000,1.260000
{$6 \times 3$},2,3,3,1,{$2^{18}$},23052,91.200000,29638,97.240000,1.285702
{$6 \times 3$},3,2,3,1,{$2^{18}$},8240,96.850000,12716,98.230000,1.543204
{$6 \times 3$},6,1,3,1,{$2^{18}$},386,99.850000,785,99.840000,2.033679
{$6 \times 4$},2,3,2,2,{$2^{24}$},4197376,74.980000,5186272,92.130000,1.235599
{$6 \times 4$},2,3,4,1,{$2^{24}$},384112,97.710000,548460,98.990000,1.427865
{$6 \times 4$},3,2,2,2,{$2^{24}$},1415896,91.560000,1930604,96.640000,1.363521
{$6 \times 4$},3,2,4,1,{$2^{24}$},131505,99.210000,251834,99.270000,1.915015
{$6 \times 4$},6,1,2,2,{$2^{24}$},27412,99.830000,43947,99.900000,1.603203
{$6 \times 4$},6,1,4,1,{$2^{24}$},3250,99.980000,11819,99.940000,3.636615
{$6 \times 5$},2,3,5,1,{$2^{30}$},5215764,99.510000,8065688,99.730000,1.546406
{$6 \times 5$},3,2,5,1,{$2^{30}$},1757384,99.830000,3980567,99.790000,2.265052
{$6 \times 5$},6,1,5,1,{$2^{30}$},28576,99.990000,183010,99.980000,6.404325
{$6 \times 6$},2,3,2,3,{$2^{36}$},17180065792,74.990000,22114697984,90.420000,1.287230
{$6 \times 6$},3,2,2,3,{$2^{36}$},5730905440,91.660000,8211426224,96.060000,1.432832
{$6 \times 6$},3,2,3,2,{$2^{36}$},1911933696,97.210000,3329563864,97.870000,1.741464
{$6 \times 6$},6,1,2,3,{$2^{36}$},59953552,99.910000,100449400,99.940000,1.675454
{$6 \times 6$},6,1,3,2,{$2^{36}$},20075154,99.970000,53817407,99.950000,2.680797
{$6 \times 6$},6,1,6,1,{$2^{36}$},251610,99.990000,2625117,99.990000,10.433278
