size,n,rc,rm,mlr,expmlr
4,2,0.500000,0.500000,1.000000,0.500000
9,3,0.333333,0.250000,0.500000,0.250000
16,2,0.125000,0.125000,0.625000,0.500000
16,4,0.130208,0.088542,0.171875,0.083333
25,5,0.024870,0.024089,0.044922,0.020833
36,2,0.007812,0.007812,0.507812,0.500000
36,3,0.008138,-0.006958,0.243042,0.250000
36,6,0.003372,0.005752,0.009918,0.004167
49,7,0.000299,0.001234,0.001929,0.000694
64,2,0.000122,0.000122,0.500122,0.500000
64,4,0.000276,0.000528,0.083862,0.083333
64,8,0.000021,0.000235,0.000335,0.000099
81,3,0.000015,0.002670,0.252670,0.250000
81,9,0.000001,0.000040,0.000052,0.000012
100,2,0.000000,0.000000,0.500000,0.500000
100,5,0.000005,0.001570,0.022403,0.020833
100,10,0.000000,0.000006,0.000007,0.000001
121,11,0.000000,0.000001,0.000001,0.000000
144,3,0.000000,0.003356,0.253356,0.250000
144,4,0.000000,0.003575,0.086908,0.083333
144,2,0.000000,0.000000,0.500000,0.500000
144,12,0.000000,0.000000,0.000000,0.000000
