v,n,m,sols,canonical,symm,multilex,m-symm,eff,slack
2,2,1,{$2^{1}$},2,0.000000,2,1.000000,100.000000,1.000000
3,3,1,{$2^{3}$},4,50.000000,4,0.500000,100.000000,1.000000
4,2,2,{$2^{6}$},40,37.500000,40,0.625000,100.000000,1.000000
4,4,1,{$2^{6}$},11,82.810000,11,0.171875,100.000000,1.000000
5,5,1,{$2^{10}$},34,96.670000,46,0.044922,98.780000,1.352941
6,2,3,{$2^{15}$},16640,49.210000,16640,0.507812,100.000000,1.000000
6,3,2,{$2^{15}$},5728,82.510000,7964,0.243042,91.730000,1.390363
6,6,1,{$2^{15}$},156,99.520000,325,0.009918,99.480000,2.083333
7,7,1,{$2^{21}$},1044,99.950000,4045,0.001929,99.850000,3.874521
8,2,4,{$2^{28}$},134250496,49.980000,134250496,0.500122,100.000000,1.000000
8,4,2,{$2^{28}$},11258944,95.800000,22511480,0.083862,95.620000,1.999431
8,8,1,{$2^{28}$},12346,99.990000,89812,0.000335,99.970000,7.274583
9,3,3,{$2^{36}$},11454296064,83.330000,17363353728,0.252670,89.680000,1.515881
9,9,1,{$2^{36}$},274668,99.990000,3583903,0.000052,99.990000,13.048127
10,2,5,{$2^{45}$},17592202821632,49.990000,17592202821632,0.500000,100.000000,1.000000
10,5,2,{$2^{45}$},293386342912,99.160000,788243248694,0.022403,98.580000,2.686707
10,10,1,{$2^{45}$},12005168,99.990000,258518959,0.000007,99.990000,21.533973
11,11,1,{$2^{55}$},1018997864,99.990000,33860186124,0.000001,99.990000,33.228908
12,2,6,{$2^{66}$},36893488181778841600,49.990000,36893488181778841600,0.500000,100.000000,1.000000
12,3,4,{$2^{66}$},12297829519913385984,83.330000,18694383605104918528,0.253356,89.590000,1.520137
12,4,3,{$2^{66}$},3074458453725478912,95.830000,6412674136868017152,0.086908,95.270000,2.085790
12,12,1,{$2^{66}$},165091172592,99.990000,8085067416957,0.000000,99.990000,48.973348
