domain,nPlans,EOG-cov-opt,MR-cov-opt,MRD-cov-opt,MRR-cov-opt,MRR_CSSB-cov-opt,MRR_NO_OPT-cov-opt,MRR_OPSB-cov-opt,MR_NO_OPT-cov-opt,MR_OPSB-cov-opt
airport,115,1.000000,0.634783,0.269565,0.182609,0.243478,0.165217,0.243478,0.634783,0.634783
barman,74,1.000000,0.000000,0.756757,0.000000,0.000000,0.000000,0.000000,0.000000,0.229730
childsnack,90,1.000000,0.500000,0.344444,0.000000,0.000000,0.000000,0.000000,0.500000,0.766667
cybersec,90,1.000000,0.711111,1.000000,0.711111,0.777778,0.711111,0.788889,0.711111,0.788889
data-network,22,1.000000,0.681818,0.136364,0.000000,0.000000,0.000000,0.000000,0.681818,0.772727
depot,63,1.000000,0.634921,0.428571,0.063492,0.158730,0.063492,0.126984,0.619048,0.714286
driverlog,59,1.000000,0.813559,0.711864,0.237288,0.457627,0.237288,0.440678,0.813559,0.864407
elevators,101,1.000000,0.613861,0.554455,0.039604,0.158416,0.029703,0.158416,0.603960,0.613861
floortile,65,1.000000,0.353846,0.446154,0.000000,0.000000,0.000000,0.000000,0.353846,1.000000
freecell,147,1.000000,0.972789,0.802721,0.122449,0.217687,0.115646,0.299320,0.972789,0.979592
ged,91,1.000000,0.637363,0.648352,0.593407,0.604396,0.593407,0.615385,0.648352,0.659341
gripper,60,1.000000,0.116667,0.200000,0.033333,0.083333,0.033333,0.150000,0.116667,0.183333
hiking,82,1.000000,0.890244,0.695122,0.097561,0.158537,0.097561,0.329268,0.890244,0.914634
logistics98,101,1.000000,0.524752,0.198020,0.029703,0.069307,0.029703,0.069307,0.514851,0.603960
mprime,97,1.000000,1.000000,0.659794,0.546392,0.597938,0.525773,0.618557,1.000000,1.000000
mystery,51,1.000000,1.000000,0.823529,0.666667,0.686275,0.647059,0.745098,1.000000,1.000000
nomystery,95,1.000000,1.000000,0.915789,0.126316,0.305263,0.126316,0.452632,1.000000,0.989474
organic-synthesis,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
parcprinter,118,1.000000,1.000000,0.542373,0.169492,0.296610,0.169492,0.169492,1.000000,1.000000
parking,80,1.000000,0.987500,0.112500,0.000000,0.000000,0.000000,0.025000,0.987500,0.987500
pipesworld,89,1.000000,0.977528,0.764045,0.134831,0.179775,0.134831,0.269663,0.988764,1.000000
psr-small,140,1.000000,0.950000,1.000000,0.950000,0.971429,0.950000,0.978571,0.950000,0.978571
rovers,120,1.000000,0.575000,0.400000,0.150000,0.208333,0.150000,0.183333,0.566667,0.691667
satellite,100,1.000000,0.840000,0.220000,0.070000,0.100000,0.070000,0.100000,0.820000,0.850000
scanalyzer,104,1.000000,0.788462,0.326923,0.038462,0.067308,0.028846,0.201923,0.788462,0.798077
tetris,79,1.000000,0.949367,0.316456,0.063291,0.075949,0.063291,0.151899,0.936709,0.962025
thoughtful,40,1.000000,0.825000,0.625000,0.000000,0.125000,0.000000,0.250000,0.825000,1.000000
tpp,89,1.000000,0.393258,0.235955,0.123596,0.168539,0.123596,0.157303,0.393258,0.528090
transport,98,1.000000,0.551020,0.326531,0.010204,0.051020,0.000000,0.081633,0.551020,0.693878
woodworking,120,1.000000,1.000000,0.483333,0.308333,0.491667,0.308333,0.325000,1.000000,1.000000
zenotravel,57,0.947368,0.894737,0.596491,0.228070,0.350877,0.228070,0.333333,0.877193,0.929825
ALL,2640,0.998864,0.746212,0.532955,0.210227,0.275379,0.206818,0.293182,0.743939,0.812121
