domain,nPlans,EOG-cov,MR-cov,MRD-cov,MRR-cov,MRR_CSSB-cov,MRR_NO_OPT-cov,MRR_OPSB-cov,MR_NO_OPT-cov,MR_OPSB-cov
airport,115,1.000000,0.634783,0.269565,0.243478,0.243478,0.165217,0.243478,0.634783,0.634783
barman,74,1.000000,0.378378,0.824324,0.175676,0.081081,0.081081,0.324324,0.405405,0.391892
childsnack,90,1.000000,1.000000,0.988889,0.922222,0.911111,0.888889,0.977778,1.000000,1.000000
cybersec,90,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
data-network,22,1.000000,0.863636,0.500000,0.181818,0.090909,0.136364,0.181818,0.818182,0.863636
depot,63,1.000000,0.888889,0.698413,0.460317,0.333333,0.460317,0.412698,0.888889,0.904762
driverlog,59,1.000000,0.949153,0.779661,0.711864,0.711864,0.728814,0.728814,0.949153,0.966102
elevators,101,1.000000,0.653465,0.594059,0.594059,0.534653,0.594059,0.574257,0.653465,0.653465
floortile,65,1.000000,1.000000,0.969231,0.138462,0.015385,0.107692,0.061538,1.000000,1.000000
freecell,147,1.000000,1.000000,0.959184,0.510204,0.462585,0.496599,0.551020,1.000000,1.000000
ged,91,1.000000,0.923077,0.648352,0.604396,0.615385,0.604396,0.626374,0.912088,0.923077
gripper,60,1.000000,0.866667,0.950000,0.200000,0.200000,0.200000,0.250000,0.866667,0.950000
hiking,82,1.000000,0.939024,0.926829,0.353659,0.268293,0.390244,0.463415,0.939024,0.939024
logistics98,101,1.000000,0.673267,0.405941,0.178218,0.168317,0.188119,0.277228,0.663366,0.683168
mprime,97,1.000000,1.000000,0.762887,0.783505,0.762887,0.773196,0.793814,1.000000,1.000000
mystery,51,1.000000,1.000000,0.941176,0.921569,0.862745,0.921569,0.941176,1.000000,1.000000
nomystery,95,1.000000,1.000000,0.936842,0.505263,0.431579,0.526316,0.621053,1.000000,0.989474
organic-synthesis,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
parcprinter,118,1.000000,1.000000,1.000000,0.966102,0.983051,0.559322,0.991525,1.000000,1.000000
parking,80,1.000000,1.000000,0.350000,0.050000,0.025000,0.050000,0.050000,1.000000,1.000000
pipesworld,89,1.000000,1.000000,0.898876,0.415730,0.337079,0.393258,0.528090,1.000000,1.000000
psr-small,140,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
rovers,120,1.000000,0.825000,0.633333,0.475000,0.466667,0.475000,0.491667,0.825000,0.816667
satellite,100,1.000000,0.890000,0.580000,0.510000,0.310000,0.450000,0.270000,0.850000,0.880000
scanalyzer,104,1.000000,0.971154,0.778846,0.355769,0.201923,0.365385,0.500000,0.971154,0.980769
tetris,79,1.000000,0.962025,0.493671,0.151899,0.101266,0.177215,0.329114,0.962025,0.962025
thoughtful,40,1.000000,1.000000,1.000000,0.200000,0.225000,0.200000,0.325000,1.000000,1.000000
tpp,89,1.000000,0.651685,0.516854,0.292135,0.247191,0.269663,0.415730,0.662921,0.674157
transport,98,1.000000,0.704082,0.581633,0.336735,0.265306,0.316327,0.448980,0.704082,0.714286
woodworking,120,1.000000,1.000000,0.891667,0.791667,0.591667,0.525000,0.783333,1.000000,1.000000
zenotravel,57,0.947368,0.947368,0.771930,0.719298,0.631579,0.701754,0.649123,0.947368,0.947368
ALL,2640,0.998864,0.890152,0.756439,0.521212,0.466288,0.480303,0.556061,0.888636,0.893939
