domain,nPlans,EOG-f,MR-df,MR_OPSB-df,MRD-df,MRR-df,MRR_OPSB-df,MRR_CSSB-df
airport,28,0.245393,29.850094,29.850094,0.000000,29.850094,29.850094,29.850094
childsnack,82,0.682622,4.332291,4.326932,8.141134,17.818670,18.376062,16.393033
cybersec,90,0.039567,88.570627,97.978096,0.000000,86.043247,97.978096,92.193204
depot,21,0.351952,5.100798,5.100798,27.114056,45.284805,45.690704,41.997022
driverlog,41,0.363610,2.481889,2.481889,18.057419,26.455594,35.383687,31.164476
elevators,54,0.423889,,,11.944080,28.475316,29.200524,27.723896
freecell,68,0.142706,,,36.417973,83.553175,89.313686,80.430751
hiking,22,0.174455,,,,40.932779,42.183430,40.828558
mprime,69,0.226101,,,54.791360,61.079419,60.861484,59.951286
mystery,43,0.175674,0.000000,0.000000,56.658723,62.020120,62.059835,61.834788
nomystery,39,0.047795,8.369099,8.369099,,30.257511,31.169528,30.472103
pipesworld,30,0.210700,,,62.933079,80.841638,80.841638,77.044771
psr-small,140,0.039407,21.750951,21.750951,0.000000,21.750951,21.750951,21.750951
rovers,56,0.661161,1.099257,1.099257,5.966240,12.488859,12.715733,11.303174
satellite,26,0.400154,0.000000,0.000000,7.939254,13.129565,14.167627,14.321414
scanalyzer,21,0.364000,,,30.860806,31.959707,31.868132,
tpp,22,0.271091,8.819584,8.819584,12.323944,29.510396,29.879277,26.542590
transport,23,0.327087,0.000000,0.000000,24.764058,35.358237,35.424700,35.424700
woodworking,71,0.865986,0.000000,0.000000,3.119460,3.299991,3.303244,3.218671
zenotravel,35,0.399314,0.858615,0.858615,17.708929,20.935889,22.023469,22.037778
ALL,1209,0.337548,3.173763,3.255116,12.149347,20.240091,21.068327,19.523102
