domain,n-plans,eog-cov,tw2-mt-min,tw2-mtml-min,tw2-rp-min,tw2-rpml-min,tw2-mt-time,tw2-mtml-time,tw2-rp-time,tw2-rpml-time,tw5-mt-min,tw5-mtml-min,tw5-rp-min,tw5-rpml-min,tw5-mt-time,tw5-mtml-time,tw5-rp-time,tw5-rpml-time
agricola,17,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
airport,115,1.000000,0.017391,0.017391,0.017391,0.017391,28.536592,28.538253,28.536295,28.545864,0.017391,0.017391,0.017391,0.017391,28.542604,28.545187,28.528489,28.531646
barman,74,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
childsnack,90,1.000000,0.366667,0.344444,0.255556,0.255556,24.032708,24.233711,25.624444,25.383823,0.344444,0.333333,0.244444,0.266667,24.776820,25.067662,25.869502,25.760908
cybersec,90,1.000000,0.955556,0.955556,0.955556,0.955556,2.994843,3.045083,3.061051,2.946667,0.955556,0.955556,0.955556,0.955556,3.053005,3.085989,3.092040,3.084862
data-network,22,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
depot,63,1.000000,0.079365,0.079365,0.079365,0.079365,27.987531,27.968887,27.995058,27.971645,0.079365,0.079365,0.079365,0.079365,27.970306,27.977444,27.982674,27.996485
driverlog,59,1.000000,0.305085,0.305085,0.288136,0.288136,23.718893,23.681405,24.477904,24.580751,0.305085,0.322034,0.288136,0.271186,23.886579,23.703625,24.589659,24.489339
elevators,101,1.000000,0.227723,0.217822,0.178218,0.168317,25.569383,25.741828,26.678268,26.668983,0.207921,0.217822,0.178218,0.168317,25.985437,25.599259,26.865969,27.018636
floortile,65,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
freecell,147,1.000000,0.074830,0.081633,0.074830,0.074830,28.401885,28.344830,28.438739,28.449127,0.074830,0.081633,0.074830,0.081633,28.452362,28.403504,28.474461,28.452423
ged,91,1.000000,0.604396,0.604396,0.604396,0.604396,13.295134,13.315322,13.448260,13.532445,0.604396,0.604396,0.604396,0.604396,13.395388,13.338339,13.397717,13.415349
gripper,60,1.000000,0.150000,0.150000,0.150000,0.133333,26.376444,26.391259,26.625431,26.671563,0.183333,0.150000,0.150000,0.133333,26.250787,26.372928,26.634912,26.687527
hiking,82,1.000000,0.170732,0.195122,0.182927,0.170732,25.939772,25.933368,26.277739,26.339154,0.170732,0.158537,0.158537,0.158537,26.588938,26.574306,27.168023,27.098053
logistics98,101,1.000000,0.029703,0.029703,0.029703,0.029703,28.967164,28.949570,29.032305,29.002442,0.029703,0.029703,0.029703,0.029703,29.137425,29.088713,29.186338,29.152646
mprime,97,1.000000,0.402062,0.391753,0.391753,0.402062,20.699128,21.076608,20.826934,20.645328,0.402062,0.402062,0.381443,0.381443,20.740864,20.798238,21.101995,21.062969
mystery,51,1.000000,0.666667,0.666667,0.627451,0.647059,14.112553,13.975850,14.781482,14.776231,0.666667,0.666667,0.627451,0.647059,14.085962,13.970916,14.582773,14.568079
nomystery,95,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
org-synth,3,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
org-synth-spl,27,1.000000,0.296296,0.296296,0.296296,0.296296,22.716898,22.781452,23.538761,23.453005,0.296296,0.296296,0.296296,0.296296,22.747118,22.734282,23.409597,23.352484
parcprinter,118,1.000000,0.076271,0.076271,0.076271,0.076271,28.350346,28.358284,28.615089,28.591010,0.076271,0.076271,0.076271,0.076271,28.382298,28.470498,28.562140,28.567802
parking,80,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
pipesworld,89,1.000000,0.123596,0.101124,0.101124,0.123596,28.387414,28.399713,28.556924,28.578004,0.089888,0.101124,0.089888,0.078652,28.375516,28.399393,28.570866,28.564049
psr-small,140,1.000000,1.000000,1.000000,1.000000,1.000000,0.256492,0.347148,0.249098,0.246796,1.000000,1.000000,1.000000,1.000000,0.261828,0.275235,0.250106,0.257192
rovers,120,1.000000,0.216667,0.208333,0.200000,0.200000,23.930144,23.903741,24.070544,24.087864,0.216667,0.208333,0.191667,0.191667,23.850039,23.985475,24.180546,24.195033
satellite,100,1.000000,0.160000,0.160000,0.160000,0.160000,25.174162,25.194424,25.517180,25.485531,0.160000,0.160000,0.160000,0.160000,25.151882,25.243447,25.519209,25.504970
scanalyzer,104,1.000000,0.067308,0.067308,0.067308,0.067308,28.698315,28.754573,28.681742,28.724926,0.038462,0.038462,0.038462,0.038462,29.238379,29.223073,29.194428,29.184548
tetris,79,1.000000,0.050633,0.050633,0.050633,0.050633,28.808708,28.755094,28.879653,28.899209,0.050633,0.050633,0.050633,0.050633,28.771312,28.778864,28.851828,28.910667
thoughtful,40,1.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
tpp,89,1.000000,0.168539,0.157303,0.157303,0.157303,24.344429,24.434536,24.549119,24.397086,0.157303,0.157303,0.157303,0.157303,24.321209,24.344787,24.421794,24.469692
transport,98,1.000000,0.122449,0.122449,0.112245,0.102041,26.661927,26.732355,27.542733,27.384756,0.122449,0.122449,0.112245,0.102041,26.751124,26.717979,27.529859,27.435722
visitall,92,0.793478,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000
woodworking,120,1.000000,0.283333,0.283333,0.250000,0.233333,24.391246,24.551804,25.055334,24.945513,0.300000,0.291667,0.250000,0.241667,24.412954,24.464559,25.037131,25.119391
zenotravel,57,0.947368,0.385965,0.368421,0.385965,0.403509,20.503630,20.551885,20.982753,20.678750,0.385965,0.385965,0.385965,0.385965,20.533139,20.621769,20.760979,20.908786
ALL,2776,0.992075,0.229107,0.226945,0.219020,0.218660,23.533562,23.576275,23.815028,23.781864,0.226585,0.225865,0.215778,0.215058,23.632622,23.642645,23.884810,23.885697
